============================================================
Distillation Sweep: code
Configs: A_fast, B_medium, C_gentle, D_long
============================================================
  Launching A_fast: /usr/bin/python3.13 train_code.py A_fast
  Launching B_medium: /usr/bin/python3.13 train_code.py B_medium
  Launching C_gentle: /usr/bin/python3.13 train_code.py C_gentle
  Launching D_long: /usr/bin/python3.13 train_code.py D_long

Monitoring 4 configs...
  [03:21:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:22:13] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:22:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:23:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:23:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:24:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:24:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:25:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:25:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:26:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:26:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:27:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:27:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:28:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:28:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:29:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:29:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:30:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:30:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:31:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:31:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:32:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:32:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:33:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:33:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:34:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:34:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:35:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:35:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:36:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:36:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:37:14] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:37:44] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:38:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:38:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:39:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:39:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:40:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:40:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:41:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:41:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:42:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:42:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:43:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:43:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:44:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:44:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:45:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:45:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:46:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:46:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:47:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:47:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:48:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:48:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:49:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:49:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:50:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:50:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:51:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:51:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:52:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:52:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:53:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:53:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:54:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:54:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:55:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:55:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:56:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:56:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:57:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
